param_key,occurrences
content_type,28452
navigation_selection,28452
click_target,28452
ga_session_number,28452
session_engaged,28452
batch_ordering_id,28452
ga_session_id,28452
brand,28452
page_url,28452
page_title,28452
index,28452
batch_page_id,28452
user_interaction,28452
page_location,28452
engagement_time_msec,28359
engaged_session_event,28327
ssguid,28192
sscampaigns,28192
enhancedUserId,26656
login_status,25551
page_type,25551
customer_guid,23585
affiliate_id,19964
affiliate_tag,18457
sequence_id,18415
referrer,15793
page_referrer,15793
interaction_id,15649
time_stamp_iso,14977
time_stamp_ms,14977
ignore_referrer,4467
time_stamp,150
campaign,8
source,8
medium,8